Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
SYR,0,3.25,32.51,75.85,131.12,216.73,296.92,351.1,381.44,1.49
TJK,0,5.57,55.74,130.07,224.84,371.63,509.13,602.04,654.07,2.55
THA,0,2.83,28.31,66.05,114.17,188.71,258.54,305.72,332.14,1.3
MKD,0,8.16,81.56,190.31,328.97,543.75,744.93,880.87,956.99,3.74
TGO,0,0.3,2.96,6.9,11.92,19.7,26.99,31.92,34.68,0.14
TON,0,1.13,11.35,26.47,45.76,75.64,103.63,122.54,133.13,0.52
TTO,0,23.03,230.3,537.37,928.89,1535.35,2103.43,2487.27,2702.22,10.55
TUN,0,2.73,27.29,63.68,110.07,181.94,249.25,294.74,320.21,1.25
TUR,0,4.32,43.22,100.84,174.31,288.12,394.72,466.75,507.09,1.98
TKM,0,14.83,148.3,346.03,598.14,988.66,1354.47,1601.63,1740.05,6.79
UGA,0,0.14,1.42,3.31,5.73,9.47,12.97,15.33,16.66,0.07
UKR,0,17.75,177.48,414.12,715.83,1183.19,1620.97,1916.77,2082.42,8.13
ARE,0,30.49,304.89,711.42,1229.74,2032.63,2784.71,3292.86,3577.43,13.96
GBR,0,41.44,414.37,966.86,1671.28,2762.45,3784.55,4475.17,4861.91,18.98
TZA,0,0.17,1.66,3.86,6.68,11.04,15.12,17.88,19.42,0.08
USA,0,52.9,528.95,1234.23,2133.45,3526.36,4831.12,5712.71,6206.4,24.23
URY,0,3.28,32.79,76.5,132.23,218.57,299.44,354.08,384.68,1.5
UZB,0,7.9,79.04,184.44,318.81,526.96,721.93,853.67,927.45,3.62
VUT,0,0.77,7.7,17.98,31.08,51.37,70.37,83.21,90.4,0.35
VEN,0,11.88,118.76,277.12,479.02,791.76,1084.71,1282.65,1393.5,5.44
VNM,0,1.18,11.78,27.48,47.5,78.51,107.56,127.18,138.17,0.54
YEM,0,1.17,11.72,27.34,47.26,78.12,107.02,126.55,137.49,0.54
ZMB,0,1.64888445,16.4888445,38.47397051,66.50500616,109.92563,150.5981131,178.0795206,193.4691088,0.755189078
